series_name,seasonal_period,baseline_naive_MAE,baseline_naive_RMSE,baseline_naive_SMAPE,baseline_naive_MASE,baseline_snaive_MAE,baseline_snaive_RMSE,baseline_snaive_SMAPE,baseline_snaive_MASE,baseline_theta_MAE,baseline_theta_RMSE,baseline_theta_SMAPE,baseline_theta_MASE,baseline_ets_MAE,baseline_ets_RMSE,baseline_ets_SMAPE,baseline_ets_MASE,catboost_raw_MAE,catboost_raw_RMSE,catboost_raw_SMAPE,catboost_raw_MASE,catboost_log_MAE,catboost_log_RMSE,catboost_log_SMAPE,catboost_log_MASE,catboost_boxcox_MAE,catboost_boxcox_RMSE,catboost_boxcox_SMAPE,catboost_boxcox_MASE,catboost_diff_MAE,catboost_diff_RMSE,catboost_diff_SMAPE,catboost_diff_MASE,feature_cluster,dtw_cluster
D51,1,11.464285714285731,13.068309542007157,1.0940876945158153,2.0130009177118406,11.464285714285731,13.068309542007157,1.0940876945158153,2.0130009177118406,11.988529778646694,13.313126085087083,1.0940891724911785,2.0130009177118406,11.464285714285731,13.054968925409023,1.0940877616139284,2.0130009177118406,29.952960986149474,32.13701074909654,2.89140137824633,5.259406425833524,29.912717373010594,32.27013008305513,2.887427093085579,5.252340095475091,,,,,12.287682873034166,14.013491176436805,1.172410784999035,2.157580290340045,0,2
D52,1,80.55000000000011,112.65604732991488,2.6526007508743796,2.4303673904040752,80.55000000000011,112.65604732991488,2.6526007508743796,2.4303673904040752,71.83926049037326,102.7425542180876,2.422802606374141,2.2146113739117514,80.55158570657444,112.65735789736537,2.6526516209778013,2.4304152345946277,101.70835081428488,148.10010248599835,3.3238314417476453,3.0687605108729406,101.53904861734684,145.93487166840166,3.319197180889375,3.063652298103704,,,,,80.67016041316785,110.08130454644558,2.6563094506362446,2.4339928894702494,2,1
D53,1,3.735714285714234,4.7649763902877345,0.33848038552084975,0.6712210159166742,3.735714285714234,4.7649763902877345,0.33848038552084975,0.6712210159166742,4.509026917455328,5.4740618053949115,0.4349749321443881,0.8632268779691371,3.6716893790643814,4.692189397410934,0.3326916964345859,0.6597172285285903,3.038183367942549,4.115958991436738,0.275352230737613,0.5458909249484122,2.966583776846083,4.331204714514762,0.26884452435840955,0.5330261428480327,,,,,12.227152280011833,13.343238697178307,1.1004416664782415,2.196935029678881,2,2
D54,1,44.714285714285744,49.60763190132286,1.6092498024830344,3.4017493135868286,44.714285714285744,49.60763190132286,1.6092498024830344,3.4017493135868286,36.4866662857931,40.5751336719604,1.345333349760652,2.8482853262365344,44.972256761770204,49.87666718851474,1.6186264553991425,3.421375095810275,39.785856757379406,43.92473779742937,1.4309480260412042,3.0268069533679047,41.35853683826024,45.47932942572699,1.4877470261223513,3.1464524603947304,623.0652773477481,674.5452511613073,25.59750398625709,47.4012241430109,37.184681061769915,41.50702718516478,1.3365281165556848,2.828916111644556,2,2
D55,1,17.745535714285715,18.60340760596218,1.6285971279839864,1.411289051315394,17.745535714285715,18.60340760596218,1.6285971279839864,1.411289051315394,5.835612835238245,7.7911507057048475,0.7307594389831709,0.6308155436194115,17.74600446428729,18.60385474070054,1.6286397627284863,1.4113263306489499,22.920169163730275,23.911600394345008,2.0978166753374676,1.822823740904531,23.2367636261196,24.192355589164194,2.126670799298235,1.8480022593595948,,,,,19.98140766188562,21.10200943590128,1.8315824110409735,1.5891062584482687,2,2
D56,1,92.28571428571429,101.86475627727468,0.8760138655208031,4.166507880152052,92.28571428571429,101.86475627727468,0.8760138655208031,4.166507880152052,138.5357675651169,142.79220512151983,1.3115261371339118,6.25460150263283,92.27561439569998,101.85560623896946,0.8759185047582625,4.166051891143796,93.36349554056596,103.56741327279612,0.89258167849539,4.2151674600900355,175.76528405688572,217.00073374907686,1.6928166456995135,7.935436668051465,75.87513107719587,89.13872383750916,0.7219863865107252,3.4256042117414007,88.35849672729493,99.79027980223508,0.8388480432419217,3.9892021830474382,2,1
D57,1,14.664285714285711,23.0589152266227,0.8420076918423299,1.7689753921792226,14.664285714285711,23.0589152266227,0.8420076918423299,1.7689753921792226,15.744114115699485,26.797645308023572,0.9263670584409794,1.9483897784448174,14.749102062418663,22.899631944788236,0.8468324645699518,1.779206919007395,19.999373424634946,25.506396259501695,1.1467687455014006,2.412555247250622,18.642895923010833,24.80030840390253,1.0689387199237634,2.2489212750837964,,,,,17.576397122919502,26.066282307553347,1.0075287971746558,2.1202678807140773,2,2
D58,1,13.878571428571393,21.54558290827012,0.8132786058984933,1.602007905521736,13.878571428571393,21.54558290827012,0.8132786058984933,1.602007905521736,14.728360874105274,23.104455165715397,0.8742263116236253,1.7231870180427085,13.878674339714296,21.545682179684526,0.8132845858435825,1.6020197845876287,14.953984124224073,22.24587058425415,0.8757008606243772,1.726143134352804,21.715306335105943,30.493909530166142,1.2666422941808226,2.5066047034242134,16.0798876095854,23.171738834375905,0.9409828170208993,1.8561065310674028,15.374804706509897,19.325106329344756,0.9004919926437266,1.7747185877485536,0,1
D59,1,119.10714285714286,128.8981463903075,2.4610787821975624,4.826338639652678,119.10714285714286,128.8981463903075,2.4610787821975624,4.826338639652678,103.36364811166524,112.42225035780696,2.131733452304137,4.188396739691211,118.71172364356582,128.53285180720005,2.452790875784715,4.810315863993984,129.4719113870687,139.04206912489525,2.6786141809190407,5.246329260257488,131.56017061507964,140.79918981849394,2.7225874135437977,5.330947579192808,298.5106762000692,317.3869643700683,6.302540650506019,12.09594635832408,68.21367230500833,76.93930724032408,1.4016450033864822,2.764085129580656,2,2
D60,1,32.035714285714285,41.39293417963989,0.7959583543239971,1.8571794770674765,32.035714285714285,41.39293417963989,0.7959583543239971,1.8571794770674765,29.183090700890034,34.926207972335554,0.7979849727149821,1.865048771643928,32.03346415713538,41.38968636267338,0.7959021043547145,1.857049032258903,45.65598683167936,62.55852202823845,1.1386999528404602,2.6467760635157416,42.32763637166119,58.1905880163064,1.0546292367777912,2.4538244061340837,32.84927758739598,38.41234119177823,0.8149586001422857,1.9043434970016995,53.9139821661693,71.40925415255971,1.3466570021871147,3.125509870421141,2,0
D61,1,136.78571428571428,154.06978938130604,3.7296187590537535,2.1149704566789995,136.78571428571428,154.06978938130604,3.7296187590537535,2.1149704566789995,69.52753518394586,81.16578442461012,2.45082537112633,1.381083872015139,63.64408451304988,78.84381312582931,2.517091413709153,1.4164512264235862,66.69116310798306,76.41505174621193,1.8318936423944145,1.0311737627828845,66.86227048795526,80.87438613930777,1.834654809781435,1.0338194122606148,58.16252916500629,67.73999450122344,1.5958439253271828,0.8993046643217053,213.41735960862553,236.114512542221,5.738160578323588,3.2998432100289996,2,1
